wavelength_um,transit_depth_ppm,atmosphere,scenario,co_vmr,ch4_vmr,population_factor
1.7106147681448367,5044.76669358745,A,biosphere_off,1e-07,1.8e-06,0.0
1.7278067323813378,5056.755206436151,A,biosphere_off,1e-07,1.8e-06,0.0
1.7451714787309207,5067.498705354216,A,biosphere_off,1e-07,1.8e-06,0.0
1.7627107436826912,5076.944909878742,A,biosphere_off,1e-07,1.8e-06,0.0
1.7804262811777603,5085.0454048021675,A,biosphere_off,1e-07,1.8e-06,0.0
1.7983198627846408,5091.752837232188,A,biosphere_off,1e-07,1.8e-06,0.0
1.8163932778764047,5097.0199244204205,A,biosphere_off,1e-07,1.8e-06,0.0
1.8346483338096222,5100.7991115973355,A,biosphere_off,1e-07,1.8e-06,0.0
1.8530868561050995,5103.042472734121,A,biosphere_off,1e-07,1.8e-06,0.0
1.8717106886304313,5103.701733904919,A,biosphere_off,1e-07,1.8e-06,0.0
1.8905216937843905,5102.728462651463,A,biosphere_off,1e-07,1.8e-06,0.0
1.909521752683168,5100.074711290462,A,biosphere_off,1e-07,1.8e-06,0.0
1.9287127653484872,5095.694914366283,A,biosphere_off,1e-07,1.8e-06,0.0
1.9480966508976074,5089.5506406180275,A,biosphere_off,1e-07,1.8e-06,0.0
1.9676753477352367,5081.62006322527,A,biosphere_off,1e-07,1.8e-06,0.0
1.9874508137473743,5071.911010950579,A,biosphere_off,1e-07,1.8e-06,0.0
2.007425026497101,5060.466486029608,A,biosphere_off,1e-07,1.8e-06,0.0
2.0275999834223377,5047.338634913863,A,biosphere_off,1e-07,1.8e-06,0.0
2.047977702035588,5032.518314818938,A,biosphere_off,1e-07,1.8e-06,0.0
2.068560220125696,5015.8781014196375,A,biosphere_off,1e-07,1.8e-06,0.0
2.089349595961623,4997.328652745527,A,biosphere_off,1e-07,1.8e-06,0.0
2.110347908498276,4995.676958852505,A,biosphere_off,1e-07,1.8e-06,0.0
2.1315572575844084,4995.676958852505,A,biosphere_off,1e-07,1.8e-06,0.0
2.152979764172603,4995.676958852505,A,biosphere_off,1e-07,1.8e-06,0.0
2.1746175705313706,4995.676958852505,A,biosphere_off,1e-07,1.8e-06,0.0
2.1964728404593785,4995.676958852505,A,biosphere_off,1e-07,1.8e-06,0.0
2.218547759501832,4996.723882734255,A,biosphere_off,1e-07,1.8e-06,0.0
2.2408445351690323,5007.608288526182,A,biosphere_off,1e-07,1.8e-06,0.0
2.263365397157126,5018.43481614638,A,biosphere_off,1e-07,1.8e-06,0.0
2.2861125975710794,5029.092147426743,A,biosphere_off,1e-07,1.8e-06,0.0
2.3090884111498906,5039.4680181835065,A,biosphere_off,1e-07,1.8e-06,0.0
2.332295135494063,5049.467432988702,A,biosphere_off,1e-07,1.8e-06,0.0
2.355735091295371,5059.022896283379,A,biosphere_off,1e-07,1.8e-06,0.0
2.379410622568927,5068.087624752141,A,biosphere_off,1e-07,1.8e-06,0.0
2.403324096887589,5076.623275078238,A,biosphere_off,1e-07,1.8e-06,0.0
2.427477905618717,5084.595154910044,A,biosphere_off,1e-07,1.8e-06,0.0
2.4518744641633115,5091.972954292455,A,biosphere_off,1e-07,1.8e-06,0.0
2.4765162121975575,5098.730542881519,A,biosphere_off,1e-07,1.8e-06,0.0
2.501405613916794,5104.844178490272,A,biosphere_off,1e-07,1.8e-06,0.0
2.526545158281934,5110.290964545476,A,biosphere_off,1e-07,1.8e-06,0.0
2.551937359268363,5115.048106282473,A,biosphere_off,1e-07,1.8e-06,0.0
