wavelength_nm,flux_quiescent,flux_flare_component,flux_total_flare
0.16562606197064272,1.062390755886782e-279,1.062390755886782e-281,1.0730146634456498e-279
0.16604443291978851,1.0490738611811918e-279,1.0490738611811915e-281,1.0595645997930037e-279
0.16646386067273078,1.0359238915769524e-279,1.0359238915769522e-281,1.046283130492722e-279
0.16688434789895287,1.0229387546951644e-279,1.0229387546951645e-281,1.033168142242116e-279
0.16730589727468115,1.0101163843845606e-279,1.0101163843845607e-281,1.0202175482284062e-279
0.16772851148290222,9.97454740392739e-280,9.97454740392739e-282,1.0074292877966664e-279
0.1681521932133798,9.849518080415311e-280,9.84951808041531e-282,9.948013261219465e-280
0.16857694516267202,9.726055979064276e-280,9.726055979064276e-282,9.82331653885492e-280
0.16900277003414851,9.604141455000328e-280,9.604141455000326e-282,9.70018286955033e-280
0.16942967053800753,9.483755109594799e-280,9.483755109594798e-282,9.578592660690747e-280
0.1698576493912933,9.364877787377659e-280,9.364877787377659e-282,9.458526565251436e-280
0.17028670931791345,9.247490572989544e-280,9.247490572989546e-282,9.33996547871944e-280
0.170716853048656,9.131574788172082e-280,9.131574788172083e-282,9.222890536053803e-280
0.17114808332120698,9.017111988795782e-280,9.017111988795781e-282,9.10728310868374e-280
0.17158040288016785,8.90408396192531e-280,8.90408396192531e-282,8.993124801544563e-280
0.1720138144770729,8.792472722921531e-280,8.792472722921532e-282,8.880397450150747e-280
0.17244832087040676,8.6822605125797915e-280,8.682260512579793e-282,8.769083117705589e-280
0.17288392482562207,8.573429794304186e-280,8.573429794304185e-282,8.659164092247228e-280
0.17332062911515692,8.465963251317164e-280,8.465963251317164e-282,8.550622883830336e-280
0.17375843651845255,8.35984378390418e-280,8.359843783904181e-282,8.443442221743223e-280
0.17419734982197116,8.255054506692795e-280,8.255054506692796e-282,8.337605051759723e-280
0.17463737181921346,8.151578745965969e-280,8.15157874596597e-282,8.233094533425629e-280
0.17507850531073654,8.049400037008974e-280,8.049400037008974e-282,8.129894037379064e-280
0.17552075310417173,7.948502121489611e-280,7.948502121489612e-282,8.027987142704508e-280
0.17596411801424242,7.848868944871196e-280,7.848868944871196e-282,7.927357634319908e-280
0.17640860286278193,7.750484653858069e-280,7.750484653858068e-282,7.827989500396649e-280
0.17685421047875158,7.653333593873024e-280,7.653333593873024e-282,7.729866929811754e-280
0.17730094369825863,7.557400306566429e-280,7.557400306566429e-282,7.632974309632093e-280
0.17774880536457435,7.462669527356541e-280,7.462669527356541e-282,7.537296222630106e-280
0.17819779832815208,7.36912618300066e-280,7.36912618300066e-282,7.442817444830667e-280
0.17864792544664537,7.276755389196723e-280,7.276755389196723e-282,7.34952294308869e-280
0.1790991895849262,7.185542448214973e-280,7.185542448214973e-282,7.257397872697123e-280
0.17955159361510334,7.095472846559269e-280,7.09547284655927e-282,7.166427575024862e-280
0.1800051404165403,7.0065322526578e-280,7.0065322526578e-282,7.076597575184378e-280
0.18045983287587403,6.918706514582652e-280,6.918706514582653e-282,6.987893579728479e-280
0.18091567388703295,6.831981657798044e-280,6.831981657798043e-282,6.900301474376024e-280
0.18137266635125565,6.746343882936685e-280,6.746343882936686e-282,6.813807321766052e-280
0.18183081317710922,6.661779563604124e-280,6.6617795636041244e-282,6.728397359240165e-280
0.18229011728050776,6.578275244210539e-280,6.5782752442105385e-282,6.644057996652644e-280
0.18275058158473095,6.495817637829714e-280,6.495817637829714e-282,6.560775814208011e-280
0.18321220902044275,6.414393624084889e-280,6.4143936240848906e-282,6.478537560325737e-280
0.1836750025257098,6.333990247061114e-280,6.3339902470611134e-282,6.397330149531725e-280
0.1841389650460205,6.254594713243672e-280,6.2545947132436724e-282,6.317140660376109e-280
0.18460409953430337,6.1761943894824975e-280,6.176194389482497e-282,6.237956333377323e-280
0.18507040895094612,6.098776800981986e-280,6.098776800981987e-282,6.159764568991806e-280
0.18553789626381437,6.022329629316056e-280,6.022329629316056e-282,6.082552925609217e-280
0.18600656444827052,5.946840710468103e-280,5.946840710468103e-282,6.006309117572784e-280
0.18647641648719274,5.872298032895469e-280,5.87229803289547e-282,5.931021013224424e-280
0.186947455370994,5.798689735618221e-280,5.798689735618221e-282,5.856676632974403e-280
0.18741968409764098,5.726004106331889e-280,5.726004106331889e-282,5.783264147395208e-280
0.18789310567267323,5.654229579543819e-280,5.6542295795438186e-282,5.710771875339257e-280
0.1883677231092223,5.583354734732912e-280,5.583354734732911e-282,5.639188282080241e-280
0.18884353942803092,5.513368294532445e-280,5.513368294532445e-282,5.568501977477769e-280
0.1893205576574721,5.444259122935656e-280,5.444259122935655e-282,5.498701714165012e-280
0.18979878083356866,5.376016223523784e-280,5.3760162235237836e-282,5.4297763857590215e-280
0.1902782120000123,5.308628737716406e-280,5.308628737716407e-282,5.36171502509357e-280
0.19075885420818312,5.242085943043623e-280,5.242085943043624e-282,5.29450680247406e-280
0.191240710517169,5.17637725143994e-280,5.17637725143994e-282,5.228141023954339e-280
0.19172378399378498,5.111492207559556e-280,5.111492207559556e-282,5.162607129635151e-280
0.19220807771259307,5.047420487112688e-280,5.047420487112688e-282,5.097894691983814e-280
0.1926935947559214,4.984151895222872e-280,4.984151895222872e-282,5.033993414175101e-280
0.1931803382138842,4.921676364804736e-280,4.921676364804736e-282,4.970893128452783e-280
0.19366831118440112,4.8599839549622e-280,4.8599839549622e-282,4.908583794511822e-280
