time_btjd,flux,flux_err
1574.785434027658,0.9926253,
1574.806267822172,1.0331196,
1574.8271016162207,0.94081235,
1574.8479354095707,0.97692335,
1574.8687692026865,0.9554759,
1574.889602995106,1.0016948,
1574.9104367872915,1.0057427,
1574.9312705787784,1.015487,
1574.9521043697996,1.0636017,
1574.972938160356,1.2082491,
1574.9937719506784,1.1936566,
1575.014605740303,1.1408739,
1575.0354395294617,1.0034919,
1575.056273318155,1.0019748,
1575.0771071063823,1.0038143,
1575.0979408939115,1.0188602,
1575.1187746812075,0.9730368,
1575.139608468038,0.9710729,
1575.1604422541704,0.98995316,
1575.1812760400694,0.9748077,
1575.2021098252694,1.0350363,
1575.2229436100047,1.0137465,
1575.243777394274,1.1224811,
1575.2646111780787,1.0594254,
1575.2854449614156,1.0507416,
1575.3062787440554,0.9867877,
1575.3271125264614,0.9863128,
1575.3479463081694,0.9563475,
1575.3687800896446,0.9269328,
1575.3896138704208,0.99487215,
1575.4104476507318,0.9777185,
1575.431281430578,0.9886788,
1575.4521152097254,1.0160606,
1575.4729489886395,1.0184338,
1575.4937827668546,1.1103889,
1575.5146165446045,1.2100321,
1575.5354503218891,1.1988337,
1575.5562840987086,1.1211265,
1575.5771178750615,0.98458683,
1575.5979516507155,0.9827812,
1575.618785426137,0.9876014,
1575.6396192008606,0.91675556,
1575.660452975118,0.96477497,
1575.6812867486774,0.9913546,
1575.7021205220035,0.9729248,
1575.7229542946316,1.0016017,
1575.76462183849,1.0199301,
1575.7854556097209,1.0687785,
1575.8062893802526,1.0511391,
1575.8271231505523,1.0222336,
1575.8479569201527,1.0048709,
1575.868790689055,1.0300406,
1575.889624457725,1.0101067,
1575.9104582256964,0.97825927,
1575.9312919932013,0.9480589,
1575.9521257602414,1.0165342,
1575.9729595265821,0.95629287,
1575.9937932926896,1.0350544,
1576.0146270585656,1.040998,
1576.0354608235107,1.1180568,
1576.0562945879883,1.2208424,
1576.0771283517684,1.195072,
1576.0979621150823,1.0723257,
1576.1187958779315,0.99620146,
1576.1396296400817,1.0236571,
1576.1604634017672,0.9541161,
1576.1812971629865,0.9339958,
1576.2021309235065,0.96540004,
1576.2229646837945,0.9375945,
1576.2437984431504,0.98279,
1576.2646322022733,0.9751528,
1576.2854659606985,0.9725575,
1576.3062997186576,1.0361979,
1576.327133476152,1.0317988,
1576.3479672329477,1.0439341,
1576.3688009892767,1.0679322,
1576.3896347451405,1.0034244,
1576.4104685003053,0.95141405,
1576.4313022550054,0.9521484,
1576.4521360092394,0.96959543,
1576.4729697627745,0.923338,
1576.493803515845,0.9802118,
1576.5146372684494,1.0196213,
1576.5354710203555,0.96390915,
1576.5563047717956,1.0198663,
1576.5771385225366,1.1656679,
1576.5979722730453,1.2359539,
1576.6188060226218,1.1553223,
1576.6396397719654,1.0866482,
1576.6604735206115,1.0183349,
1576.681307268559,0.9783216,
