time_days,energy_erg,log10_energy,log10_F_NUV,EF_NUV_peak,flare_class,dCO,dSO2,dO3_abiotic,dO2_abiotic
32.10456205376557,1.8337422808251537e+30,30.26333829868387,4.279063111504218,249.0578105272217,micro,0.0003674378669025309,-4.9534417805295275e-05,4.953441780529527e-10,1.41393884530928e-08
32.27376285424626,1.2229544847559236e+32,32.08741029400507,6.103135106825415,2656.088974796151,large,0.003928215961428737,-0.0005134486175079567,7.578377670635379e-09,1.4125404273016606e-07
34.50067374935663,2.177280970006005e+31,31.337914476744125,5.353639289564472,855.4643395456571,moderate,0.001578006437041839,-0.00020609178686934167,2.4145571582578887e-09,5.475475026951305e-08
35.24634577034843,8.022378387956718e+30,30.90430314230358,4.920027955123926,232.265157903684,micro,0.0007520167730743556,-9.440195685867482e-05,9.44019568586748e-10,2.8240615012726367e-08
36.25434626752886,1.349745661183362e+30,30.13025194008686,4.145976752907208,128.87712111077965,micro,0.0002875860517443247,-4.021837270350455e-05,4.0218372703504546e-10,1.1211488563958572e-08
36.488301189859605,2.3882769302995185e+30,30.378084683566136,4.393809496386486,164.64005947581586,micro,0.00043628569783189146,-5.7566664747054e-05,5.756666474705401e-10,1.6663808920502687e-08
37.21660028530747,1.0640401540248708e+30,30.02695801737856,4.042682830198906,117.43054872889518,micro,0.0002256096981193437,-3.2987798113923435e-05,3.2987798113923434e-10,8.939022264375937e-09
39.58253723316572,1.2613686471486724e+30,30.100842031874084,4.116566844694433,24.010711364150126,micro,0.00026994010681666,-3.815967912861033e-05,3.815967912861033e-10,1.0564470583277532e-08
43.73277265198167,4.900612481500064e+30,30.69025036180664,4.705975174626984,164.5455668279359,micro,0.0006235851047761902,-7.941826222388886e-05,7.941826222388885e-10,2.3531453841793634e-08
44.00554003496099,6.605073888262662e+30,30.81987768025263,4.835602493072978,53.712541239092474,micro,0.0007013614958437867,-8.849217451510845e-05,8.849217451510844e-10,2.638325484760551e-08
44.17736569888767,1.069585933539008e+32,32.029215682748166,6.044940495568517,1328.355244683026,large,0.003404464460116656,-0.0004494345451253691,6.123512389212933e-09,1.1797619822740692e-07
44.65365241201392,1.7265669431493535e+30,30.2371834216526,4.2529082344729465,68.05590974252723,micro,0.00035174494068376794,-4.770357641310626e-05,4.770357641310626e-10,1.3563981158404825e-08
44.93055448027861,1.8982951116311997e+30,30.27836372937161,4.294088542191957,38.48238792304539,micro,0.00037645312531517394,-5.058619795343696e-05,5.058619795343696e-10,1.4469947928223045e-08
49.792324856392185,2.4059497875902647e+30,30.381286559329663,4.397011372150015,37.85602511283155,micro,0.0004382068232900089,-5.7790796050501044e-05,5.779079605050104e-10,1.6734250187300326e-08
50.14274728004668,1.337841016145542e+30,30.12640450662081,4.142129319441159,116.89158849051991,micro,0.00028527759166469517,-3.99490523608811e-05,3.9949052360881104e-10,1.112684502770549e-08
