time_hours,EF_NUV,n_O3_cm3,n_CH4_cm3,n_OH_cm3,vmr_O3,vmr_CH4,vmr_OH,dO3_frac,dCH4_frac,dOH_frac
-1.7268634317158578,1.0,88171811566.15857,529036610929.9048,293909.4582489415,2.9999656889558e-07,1.7999989484171135e-06,1.0000001981867253e-12,-1.1437014733459404e-05,-5.842127147096724e-07,1.9818672541183304e-07
-1.713856928464232,1.0,88171763555.32372,529036596212.2842,293909.4610221425,2.9999640554308134e-07,1.799998898341748e-06,1.0000002076222893e-12,-1.1981523062149879e-05,-6.12032362165409e-07,2.076222894892744e-07
-1.7008504252126062,1.0,88171715545.38185,529036581494.6639,293909.4637952927,2.9999624219362105e-07,1.7999988482663838e-06,1.0000002170576807e-12,-1.252602126311491e-05,-6.398520090442941e-07,2.1705768087036673e-07
-1.6878439219609804,1.0,88171667536.33295,529036566777.0438,293909.4665683922,2.9999607884719897e-07,1.7999987981910201e-06,1.0000002264928994e-12,-1.3070509336700614e-05,-6.676716554616978e-07,2.2649289955511008e-07
-1.6748374187093547,1.0,88171619528.177,529036552059.424,293909.469341441,2.9999591550381514e-07,1.7999987481156575e-06,1.0000002359279458e-12,-1.3614987282906987e-05,-6.954913014176204e-07,2.3592794593959695e-07
-1.6618309154577289,1.0,88171571520.914,529036537341.8045,293909.472114439,2.9999575216346945e-07,1.7999986980402958e-06,1.0000002453628193e-12,-1.4159455101907085e-05,-7.233109467966914e-07,2.4536281942968857e-07
-1.648824412206103,1.0,88171523514.54391,529036522624.18524,293909.4748873863,2.9999558882616176e-07,1.7999986479649348e-06,1.0000002547975202e-12,-1.4703912794047021e-05,-7.511305917142811e-07,2.5479752042147744e-07
-1.6358179089544773,1.0,88171475509.06673,529036507906.5663,293909.4776602829,2.9999542549189216e-07,1.7999985978895752e-06,1.0000002642320489e-12,-1.5248360359499848e-05,-7.789502360550192e-07,2.642320489149636e-07
-1.6228114057028513,1.0,88171427504.48244,529036493188.9476,293909.4804331288,2.999952621606605e-07,1.7999985478142162e-06,1.0000002736664047e-12,-1.5792797798265568e-05,-8.067698799342761e-07,2.736664047121008e-07
-1.6098049024512255,1.0,88171379500.79102,529036478471.3291,293909.48320592387,2.999950988324668e-07,1.799998497738858e-06,1.0000002831005878e-12,-1.633722511069029e-05,-8.345895233520517e-07,2.8310058781288894e-07
-1.5967983991995998,1.0,88171331497.99245,529036463753.71094,293909.48597866826,2.9999493550731094e-07,1.799998447663501e-06,1.0000002925345984e-12,-1.688164229694707e-05,-8.624091661929757e-07,2.9253459841537436e-07
-1.583791895947974,1.0,88171283496.08672,529036449036.0931,293909.4887513619,2.999947721851928e-07,1.7999983975881449e-06,1.0000003019684362e-12,-1.7426049357208965e-05,-8.902288084570481e-07,3.019684363215108e-07
-1.570785392696348,1.0,88171235495.0738,529036434318.4754,293909.49152400484,2.999946088661125e-07,1.7999983475127893e-06,1.0000003114021017e-12,-1.7970446291649028e-05,-9.180484503750097e-07,3.1140210172934454e-07
-1.5577788894447222,1.0,88171187494.9537,529036419600.8581,293909.4942965971,2.9999444555006987e-07,1.7999982974374351e-06,1.0000003208355945e-12,-1.8514833100440318e-05,-9.458680916007493e-07,3.208355946388755e-07
-1.5447723861930964,1.0,88171139495.72638,529036404883.24097,293909.49706913857,2.999942822370648e-07,1.7999982473620816e-06,1.0000003302689147e-12,-1.9059209783928942e-05,-9.73687732480378e-07,3.302689148520575e-07
-1.5317658829414706,1.0,88171091497.39185,529036390165.62415,293909.49984162935,2.999941189270974e-07,1.799998197286729e-06,1.0000003397020624e-12,-1.9603576341941845e-05,-1.0015073727831551e-06,3.3970206256693675e-07
-1.5187593796898449,1.0,88171043499.95004,529036375448.0076,293909.5026140694,2.9999395562016743e-07,1.7999981472113776e-06,1.0000003491350374e-12,-2.0147932775171253e-05,-1.0293270125090805e-06,3.49135037585467e-07
-1.505752876438219,1.0,88170995503.401,529036360730.39136,293909.50538645877,2.9999379231627503e-07,1.7999980971360268e-06,1.0000003585678402e-12,-2.069227908327105e-05,-1.0571466517735248e-06,3.585678403037408e-07
-1.4927463731865933,1.0,88170947507.74466,529036346012.7753,293909.50815879734,2.9999362901541993e-07,1.799998047060677e-06,1.00000036800047e-12,-2.1236615266933462e-05,-1.0849662905764878e-06,3.6800047012761935e-07
-1.4797398699349675,1.0,88170899512.98103,529036331295.1596,293909.5109310853,2.999934657176022e-07,1.799997996985328e-06,1.0000003774329276e-12,-2.1780941325985433e-05,-1.1127859288025992e-06,3.774329276512414e-07
-1.4667333666833415,1.0,88170851519.1101,529036316577.5442,293909.51370332245,2.9999330242282184e-07,1.7999979469099803e-06,1.0000003868652124e-12,-2.2325257260600013e-05,-1.140605566451859e-06,3.868652124785145e-07
-1.4537268634317158,1.0,88170803526.13184,529036301859.92896,293909.5164755089,2.999931391310786e-07,1.7999978968346331e-06,1.0000003962973247e-12,-2.2869563071296377e-05,-1.168425203755008e-06,3.962973248074848e-07
-1.44072036018009,1.0,88170755534.04622,529036287142.314,293909.51924764464,2.999929758423726e-07,1.799997846759287e-06,1.0000004057292644e-12,-2.3413858758074516e-05,-1.1962448404813054e-06,4.057292644401062e-07
-1.4277138569284642,1.0,88170707542.85326,529036272424.6994,293909.5220197297,2.9999281255670373e-07,1.799997796683942e-06,1.0000004151610316e-12,-2.395814432093444e-05,-1.224064476630751e-06,4.1516103177247107e-07
-1.4147073536768382,1.0,88170659552.5529,529036257707.085,293909.52479176404,2.9999264927407186e-07,1.7999977466085978e-06,1.0000004245926263e-12,-2.4502419760395303e-05,-1.2518841123187156e-06,4.2459262640848695e-07
-1.4017008504252124,1.0,88170611563.14516,529036242989.4709,293909.5275637476,2.999924859944771e-07,1.7999976965332545e-06,1.0000004340240482e-12,-2.5046685076457118e-05,-1.2797037475451988e-06,4.3402404834815387e-07
-1.3886943471735866,1.0,88170563574.62999,529036228271.85706,293909.5303356805,2.9999232271791917e-07,1.799997646457912e-06,1.000000443455298e-12,-2.5590940269465987e-05,-1.3075233821948304e-06,4.434552979875643e-07
-1.3756878439219609,1.0,88170515587.00742,529036213554.2435,293909.5331075627,2.9999215944439824e-07,1.7999975963825708e-06,1.0000004528863749e-12,-2.6135185339248858e-05,-1.3353430162676105e-06,4.5288637493062573e-07
-1.362681340670335,1.0,88170467600.27737,529036198836.6302,293909.53587939416,2.9999199617391404e-07,1.79999754630723e-06,1.0000004623172792e-12,-2.6679420286497953e-05,-1.3631626499942797e-06,4.6231727937538446e-07
-1.3496748374187093,1.0,88170419614.4399,529036184119.0172,293909.5386511749,2.9999183290646676e-07,1.7999974962318905e-06,1.0000004717480112e-12,-2.722364511086716e-05,-1.3909822830287268e-06,4.7174801132184045e-07
-1.3366683341670835,1.0,88170371629.49492,529036169401.4044,293909.541422905,2.999916696420561e-07,1.7999974461565518e-06,1.0000004811785707e-12,-2.77678598130487e-05,-1.418801915717063e-06,4.811785707699936e-07
-1.323661830915458,1.0,88170323645.44246,529036154683.79193,293909.54419458436,2.9999150638068216e-07,1.799997396081214e-06,1.0000004906089576e-12,-2.831206439286952e-05,-1.446621547828548e-06,4.906089577198442e-07
-1.3106553276638322,1.0,88170275662.28249,529036139966.17975,293909.546966213,2.999913431223448e-07,1.7999973460058772e-06,1.0000005000391718e-12,-2.885625885067573e-05,-1.474441179363181e-06,5.000391719733458e-07
-1.297648824412206,1.0,88170227680.01498,529036125248.5678,293909.54973779095,2.99991179867044e-07,1.7999972959305412e-06,1.0000005094692137e-12,-2.9400443186640384e-05,-1.5022608104363329e-06,5.094692139265908e-07
-1.2846423211605802,1.0,88170179698.63994,529036110530.9561,293909.55250931816,2.999910166147797e-07,1.7999972458552062e-06,1.000000518899083e-12,-2.994461740093654e-05,-1.5300804410480035e-06,5.188990831834869e-07
-1.2716358179089546,1.0,88170131718.15733,529036095813.3447,293909.55528079474,2.999908533655519e-07,1.7999971957798721e-06,1.00000052832878e-12,-3.0488781493737253e-05,-1.5579000710828226e-06,5.283287801401266e-07
-1.2586293146573284,1.0,88170083738.56715,529036081095.7336,293909.55805222056,2.9999069011936043e-07,1.7999971457045388e-06,1.0000005377583042e-12,-3.1032935465215575e-05,-1.5857197006561602e-06,5.377583044004172e-07
-1.2456228114057026,1.0,88170035759.86937,529036066378.12274,293909.5608235957,2.9999052687620527e-07,1.7999970956292066e-06,1.000000547187656e-12,-3.157707931571762e-05,-1.6135393296526464e-06,5.471876561624051e-07
-1.2326163081540769,1.0,88169987782.06398,529036051660.51215,293909.5635949201,2.999903636360864e-07,1.7999970455538752e-06,1.0000005566168353e-12,-3.212121304524339e-05,-1.6413589581876515e-06,5.566168354260902e-07
-1.219609804902451,1.0,88169939805.15097,529036036942.9018,293909.5663661939,2.9999020039900383e-07,1.7999969954785447e-06,1.0000005660458423e-12,-3.266533665396594e-05,-1.669178586261175e-06,5.660458423895189e-07
-1.2066033016508255,1.0,88169891829.13031,529036022225.29175,293909.5691374169,2.9999003716495734e-07,1.7999969454032152e-06,1.0000005754746766e-12,-3.320945014223138e-05,-1.6969982137578471e-06,5.754746766565986e-07
-1.1935967983991997,1.0,88169843854.002,529036007507.682,293909.5719085892,2.99989873933947e-07,1.7999968953278869e-06,1.0000005849033384e-12,-3.37535535100397e-05,-1.7248178406776678e-06,5.849033384253755e-07
-1.180590295147574,1.0,88169795879.766,529035992790.0725,293909.57467971084,2.9998971070597267e-07,1.7999968452525592e-06,1.0000005943318276e-12,-3.429764675773703e-05,-1.752637467136007e-06,5.943318276958499e-07
-1.1675837918959482,1.0,88169747906.42232,529035978072.46326,293909.5774507818,2.999895474810343e-07,1.7999967951772324e-06,1.0000006037601445e-12,-3.48417298854964e-05,-1.780457093132865e-06,6.037601446660676e-07
-1.1545772886443224,1.0,88169699933.97092,529035963354.8543,293909.58022180205,2.9998938425913196e-07,1.7999967451019066e-06,1.000000613188289e-12,-3.5385802893490897e-05,-1.8082767185528715e-06,6.131882889399365e-07
